time	intensity	phase	power	power	bootstrap	bootstrap
684.0645	0.001076928	4.765288	0.00084113	0	0.00077819	0
690.5794	0.001002178	4.792439	0.00074399	0	0.00069239	0
697.0943	0.000919602	4.821476	0.00064866	0	0.00061719	0
703.6092	0.000825903	4.8513	0.00055565	0	0.00053616	0
710.1241	0.000728724	4.883822	0.00046096	0	0.00047246	0
716.639	0.00063494	4.921153	0.00037139	0	0.00041937	0
723.1539	0.000541504	4.962668	0.00028888	0	0.00027407	0
729.6688	0.000446411	5.008144	0.00022738	0	0.00013809	0
736.1837	0.000356505	5.06101	0.00017944	0	4.01E-05	0
742.6986	0.000277171	5.125658	5.01E-05	0	7.32E-05	0
749.2135	0.000206171	5.205616	4.91E-05	0	3.92E-05	0
755.7284	0.000142711	5.309437	3.95E-05	0	9.45E-05	0
762.2433	9.17E-05	0	2.94E-05	0	0.00010856	0
768.7582	5.61E-05	0	4.44E-05	0	6.18E-05	0
775.2731	3.45E-05	0	0.00010007	0	3.28E-05	0
781.788	2.73E-05	0	6.74E-05	0	5.86E-05	0
788.3029	3.67E-05	0	0.00014019	0	0.0001101	0
794.8178	6.21E-05	0	0.00023128	0	0.00023101	0
801.3327	0.000103324	7.654444	0.00030908	0	0.00034623	0
807.8476	0.000162122	7.805056	0.0004086	0	0.00048127	0
814.3625	0.00023728	7.915624	0.00052513	0	0.00057878	0
820.8774	0.000324756	8.00047	0.00065431	0	0.00071125	0
827.3923	0.000425776	8.073241	0.00079074	0	0.00087882	0
833.9072	0.000544105	8.140407	0.00093626	0	0.0010043	0
840.4221	0.000675368	8.201934	0.0010966	0	0.0011099	0
846.937	0.00081241	8.25854	0.0012655	0	0.0012553	0
853.4519	0.000958939	8.313147	0.001436	0	0.0014671	0
859.9668	0.001121355	8.367123	0.0016116	0	0.001697	0
866.4817	0.001292504	8.419785	0.0017996	0	0.0018839	0
872.9966	0.001462544	8.471112	0.0019927	0	0.0020408	0
879.5115	0.001637923	8.521997	0.0021804	0	0.00223	0
886.0264	0.001827662	8.572647	0.0023702	0	0.0024578	0
892.5413	0.002022104	8.622808	0.0025724	0	0.0026615	0
899.0562	0.002209337	8.672679	0.0027782	0	0.0028262	0
905.5711	0.002398839	8.722332	0.002974	0	0.0029891	0
912.086	0.002602348	8.771372	0.0031694	0	0.0031954	0
918.6009	0.002808294	8.819851	0.0033768	0	0.0034531	0
925.1158	0.003003064	8.868134	0.0035828	0	0.0036932	0
931.6307	0.003198077	8.915714	0.0037699	0	0.0038618	0
938.1456	0.003405913	8.961765	0.0039503	0	0.0039779	0
944.6605	0.003611698	9.006636	0.0041346	0	0.0041207	0
951.1754	0.00379859	9.050963	0.0043058	0	0.0043315	0
957.6903	0.003977516	9.09401	0.0044436	0	0.0045453	0
964.2052	0.004159976	9.134849	0.0045585	0	0.0046443	0
970.7201	0.004327953	9.174243	0.0046662	0	0.004648	0
977.235	0.004462679	9.213185	0.0047474	0	0.0046771	0
983.7499	0.004575559	9.250851	0.0047809	0	0.0047928	0
990.2648	0.004678555	9.286242	0.0047822	0	0.0048877	0
996.7797	0.004753807	9.32041	0.0047699	0	0.0048209	0
1003.295	0.004784083	9.354601	0.0047262	0	0.0046385	0
1009.81	0.004782991	9.387873	0.0046316	0	0.0044972	0
1016.324	0.004764278	9.419105	0.0045059	0	0.0044458	0
1022.839	0.004712882	9.449614	0.0043711	0	0.0043889	0
1029.354	0.004615503	9.480964	0.0042119	0	0.0042193	0
1035.869	0.004488403	9.512126	0.0040126	0	0.0039502	0
1042.384	0.004347254	9.541826	0.0037956	0	0.0036798	0
1048.899	0.004181205	9.571694	0.0035834	0	0.0034777	0
1055.414	0.003981722	9.603677	0.0033629	0	0.00331	0
1061.929	0.003766238	9.636531	0.0031236	0	0.0031071	0
1068.444	0.003550199	9.668599	0.0028835	0	0.0028295	0
1074.959	0.003325721	9.701796	0.0026597	0	0.0025367	0
